name,brand,model,size,length_mm,width_mm,height_mm,weight_g,shape,hand,hump_placement,front_flare,side_curvature,sensor,sensor_type,sensor_position,max_dpi,polling_rate_hz,side_buttons,switches,material,connectivity
Rapoo VT9 Max Gen-2,Rapoo,VT9 Max Gen-2,Large,125.0,65.0,39.0,53.0,Symmetrical,Right,Center,Outward - slight,Inward,PixArt PAW3950,Optical,Centered (51%),30000,8000.0,2,Rapoo Optical,Plastic,Wireless
Rapoo VT9 Gen-2,Rapoo,VT9 Gen-2,Large,125.0,65.0,39.0,53.0,Symmetrical,Right,Center,Outward - slight,Inward,PixArt PAW3395,Optical,Centered (51%),26000,8000.0,2,Omron D2FC-F-7N(100M),Plastic,Wireless
INPHIC IN10P,INPHIC,IN10P,Medium,122.5,61.3,39.4,59.7,Symmetrical,Right,Center,Outward - slight,Inward,PixArt PAW3395,Optical,Forward (54%),26000,8000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
Attack Shark V8,Attack Shark,V8,Large,126.4,67.8,40.7,59.0,Ergonomic,Right,Center,Outward - slight,Flat,PixArt PAW3950 Max,Optical,Centered (52%),42000,8000.0,2,Omron Optical,Plastic,Wireless
VGN Dragonfly 3 Master+,VGN,Dragonfly 3 Master+,Large,125.0,63.3,40.0,56.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3950,Optical,Forward (54%),42000,8000.0,2,VGN x Kailh Optical,Plastic,Wireless
VGN Dragonfly 3 Master,VGN,Dragonfly 3 Master,Large,125.0,63.3,40.0,58.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3395,Optical,Forward (54%),36000,8000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
VGN Dragonfly 3 Pro Max,VGN,Dragonfly 3 Pro Max,Large,125.0,63.3,40.0,58.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3395,Optical,Forward (54%),36000,8000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
VGN Dragonfly 3 Pro,VGN,Dragonfly 3 Pro,Large,125.0,63.3,40.0,58.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3395,Optical,Forward (54%),36000,1000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
VGN Dragonfly 3 SE,VGN,Dragonfly 3 SE,Large,125.0,63.3,40.0,58.0,Symmetrical,Right,Center,Outward - slight,Flat,PixArt PAW3311,Optical,Forward (54%),12000,1000.0,2,Huano Transparent Green Shell White Dot,Plastic,Wireless
Pulsar X2H CrazyLight Medium,Pulsar,X2H CrazyLight Medium,Medium,120.4,65.0,39.1,43.0,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,Pulsar XS-1,Optical,Forward (55%),32000,8000.0,2,Pulsar Optical Switch,Plastic,Wireless
